province_name,date_report,Temperature,Relative Humidity
Nova Scotia,03-12-2020,31.4,69.05
Nova Scotia,03/13/2020,34.6,87.74
Nova Scotia,03/14/2020,41.7,59.96
Nova Scotia,03/15/2020,31.4,49.87
Nova Scotia,03/16/2020,26.2,59.39
Nova Scotia,03/17/2020,28.7,79.29
Nova Scotia,03/18/2020,36.9,63.83
Nova Scotia,03/19/2020,34.3,65.94
Nova Scotia,03/20/2020,41.7,96.59
Nova Scotia,03/21/2020,41.4,56.73
Nova Scotia,03/22/2020,24.1,42.37
Nova Scotia,03/23/2020,26.1,57.74
Nova Scotia,03/24/2020,34.6,88.79
Nova Scotia,03/25/2020,34.3,67.4
Nova Scotia,03/26/2020,33.5,85.29
Nova Scotia,03/27/2020,33.7,83.03
Nova Scotia,03/28/2020,40,54.77
Nova Scotia,03/29/2020,37.6,60.36
Nova Scotia,03/30/2020,34.7,59.3
Nova Scotia,03/31/2020,32.4,80.21
Nova Scotia,04-01-2020,38.4,89.38
Nova Scotia,04-02-2020,44.9,94.84
Nova Scotia,04-03-2020,44.5,89.03
Nova Scotia,04-04-2020,37.2,75.7
Nova Scotia,04-05-2020,33.3,75.34
Nova Scotia,04-06-2020,42.2,62.52
Nova Scotia,04-07-2020,37.4,47.71
Nova Scotia,04-08-2020,38.8,59.24
Nova Scotia,04-09-2020,34.2,68.67
Nova Scotia,04-10-2020,37.7,82.61
Nova Scotia,04-11-2020,38.9,61.95
Nova Scotia,04-12-2020,42.8,52.93
Nova Scotia,04/13/2020,42,86.38
Nova Scotia,04/14/2020,52.7,71.4
Nova Scotia,04/15/2020,39.6,80.77
Nova Scotia,04/16/2020,38.5,63.05
Nova Scotia,04/17/2020,37.6,50.71
Nova Scotia,04/18/2020,34.8,76.33
Nova Scotia,04/19/2020,39.8,55.67
Nova Scotia,04/20/2020,44.6,62.16
Nova Scotia,04/21/2020,38.6,57.6
Nova Scotia,04/22/2020,39.5,74.43
Nova Scotia,04/23/2020,37.2,49.29
Nova Scotia,04/24/2020,38.7,69.27
Nova Scotia,04/25/2020,44.6,55.65
Nova Scotia,04/26/2020,42.9,52.54
Nova Scotia,04/27/2020,39,86.87
Nova Scotia,04/28/2020,34.3,94.63
Nova Scotia,04/29/2020,37.6,75.18
Nova Scotia,04/30/2020,38,76.3
Nova Scotia,05-01-2020,42.3,90.98
Nova Scotia,05-02-2020,48.6,94.62
Nova Scotia,05-03-2020,49,58.1
Nova Scotia,05-04-2020,42.8,97.41
Nova Scotia,05-05-2020,41,90.14
Nova Scotia,05-06-2020,45.4,57.14
Nova Scotia,05-07-2020,39.9,85.33
Nova Scotia,05-08-2020,45.4,63.12
Nova Scotia,05-09-2020,40.9,85.96
Nova Scotia,05-10-2020,38.6,69.12
Nova Scotia,05-11-2020,47.9,61.12
Nova Scotia,05-12-2020,45.7,90.78
Nova Scotia,05/13/2020,41.8,64.82
Nova Scotia,05/14/2020,47.4,37.94
Nova Scotia,05/15/2020,48.6,52.18
Nova Scotia,05/16/2020,44.4,85.43
Nova Scotia,05/17/2020,51.8,67.64
Nova Scotia,05/18/2020,49.1,67.04
Ontario,01/25/2020,37.4,90.47
Ontario,01/26/2020,36.3,85.56
Ontario,01/27/2020,34.7,75.85
Ontario,01/28/2020,33.1,73.17
Ontario,01/29/2020,25.3,63.16
Ontario,01/30/2020,26.6,73.84
Ontario,01/31/2020,29.9,75.4
Ontario,02-01-2020,31.3,81.29
Ontario,02-02-2020,33.6,90.01
Ontario,02-03-2020,38.5,68.81
Ontario,02-04-2020,35.4,61.29
Ontario,02-05-2020,24.6,55.3
Ontario,02-06-2020,25.7,81.52
Ontario,02-07-2020,23.8,70.68
Ontario,02-08-2020,15.9,60.53
Ontario,02-09-2020,27.5,81.4
Ontario,02-10-2020,36.1,77
Ontario,02-11-2020,34.2,64.96
Ontario,02-12-2020,32.1,65.92
Ontario,02/13/2020,25.7,78.72
Ontario,02/14/2020,8.5,57.77
Ontario,02/15/2020,25.1,62.43
Ontario,02/16/2020,34.8,63.27
Ontario,02/17/2020,28.7,63.85
Ontario,02/18/2020,36.2,79.23
Ontario,02/19/2020,28.3,52.81
Ontario,02/20/2020,20.8,56.97
Ontario,02/21/2020,25.2,56.77
Ontario,02/22/2020,34,56.22
Ontario,02/23/2020,39.2,60.42
Ontario,02/24/2020,41.6,63.65
Ontario,02/25/2020,39.1,68.68
Ontario,02/26/2020,32.8,79.17
Ontario,02/27/2020,25.2,74
Ontario,02/28/2020,23.8,67.02
Ontario,02/29/2020,18.2,60.95
Ontario,03-01-2020,29.1,63.18
Ontario,03-02-2020,39.8,80.18
Ontario,03-03-2020,37.9,84.7
Ontario,03-04-2020,38.5,66.4
Ontario,03-05-2020,35.9,57.58
Ontario,03-06-2020,35.8,70.24
Ontario,03-07-2020,31,52.55
Ontario,03-08-2020,41.5,61.34
Ontario,03-09-2020,50.8,50.93
Ontario,03-10-2020,44.4,77.2
Ontario,03-11-2020,33.9,70.78
Ontario,03-12-2020,36.5,77.36
Ontario,03/13/2020,42.5,62.7
Ontario,03/14/2020,36.3,59.59
Ontario,03/15/2020,32.9,42.6
Ontario,03/16/2020,33.2,54.53
Ontario,03/17/2020,40.2,68.16
Ontario,03/18/2020,35.6,55.01
Ontario,03/19/2020,40.1,79.56
Ontario,03/20/2020,44.8,79.5
Ontario,03/21/2020,26.2,53.18
Ontario,03/22/2020,29,55.11
Ontario,03/23/2020,36.5,87.25
Ontario,03/24/2020,37.9,74.7
Ontario,03/25/2020,39.8,77.5
Ontario,03/26/2020,44.3,77.65
Ontario,03/27/2020,40.6,70.97
Ontario,03/28/2020,41,79.23
Ontario,03/29/2020,47.3,80.98
Ontario,03/30/2020,45.4,73.97
Ontario,03/31/2020,41.9,86.54
Ontario,04-01-2020,42.9,44.28
Ontario,04-02-2020,47.5,37.09
Ontario,04-03-2020,44.8,61.49
Ontario,04-04-2020,46.6,78.76
Ontario,04-05-2020,46.9,64.67
Ontario,04-06-2020,45.1,54.31
Ontario,04-07-2020,48.3,50.95
Ontario,04-08-2020,48.3,66.59
Ontario,04-09-2020,43.7,60.34
Ontario,04-10-2020,39.1,53.8
Ontario,04-11-2020,40.1,53.48
Ontario,04-12-2020,45.9,59.95
Ontario,04/13/2020,48.6,74.77
Ontario,04/14/2020,38.2,54.83
Ontario,04/15/2020,34.7,51.5
Ontario,04/16/2020,34.3,49.84
Ontario,04/17/2020,36.5,58.49
Ontario,04/18/2020,39.8,65.77
